Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Date Updated
Clinton,No,12925,9583,74.14,8999,69.62,08/12/2021
Colchester,No,15809,10466,66.2,9841,62.25,08/12/2021
Colebrook,No,1400,951,67.93,886,63.29,08/12/2021
Columbia,No,5379,3508,65.22,3337,62.04,08/12/2021
Cornwall,No,1362,1091,80.1,1031,75.7,08/12/2021
Coventry,No,12407,7972,64.25,7575,61.05,08/12/2021
Cromwell,No,13839,10423,75.32,9843,71.13,08/12/2021
Danbury,Yes,84694,56210,66.37,49643,58.61,08/12/2021
Darien,No,21728,16327,75.14,15071,69.36,08/12/2021
Deep River,No,4443,3238,72.88,3049,68.62,08/12/2021
Derby,Yes,12339,8879,71.96,7728,62.63,08/12/2021
Durham,No,7165,5088,71.01,4803,67.03,08/12/2021
East Granby,No,5140,3561,69.28,3378,65.72,08/12/2021
East Haddam,No,8997,5886,65.42,5235,58.19,08/12/2021
East Hampton,No,12800,8351,65.24,7913,61.82,08/12/2021
East Hartford,Yes,49872,31267,62.69,27934,56.01,08/12/2021
East Haven,Yes,28569,17168,60.09,15864,55.53,08/12/2021
East Lyme,No,18462,13377,72.46,12647,68.5,08/12/2021
East Windsor,No,11668,6976,59.79,6353,54.45,08/12/2021
Eastford,No,1790,999,55.81,941,52.57,08/12/2021
Easton,No,7521,5303,70.51,4992,66.37,08/12/2021
Ellington,No,16467,10658,64.72,9990,60.67,08/12/2021
Enfield,Yes,43659,24871,56.97,23122,52.96,08/12/2021
Essex,No,6668,5176,77.62,4899,73.47,08/12/2021
Fairfield,No,62045,42785,68.96,40122,64.67,08/12/2021
Farmington,No,25497,20042,78.61,18944,74.3,08/12/2021
Franklin,No,1920,1200,62.5,1123,58.49,08/12/2021
Glastonbury,No,34482,26223,76.05,24814,71.96,08/12/2021
Goshen,No,2863,1955,68.29,1829,63.88,08/12/2021
Granby,No,11507,7706,66.97,7339,63.78,08/12/2021
Greenwich,No,62840,43806,69.71,40493,64.44,08/12/2021
Griswold,Yes,11534,6039,52.36,5668,49.14,08/12/2021
Groton,Yes,38436,21496,55.93,20140,52.4,08/12/2021
Guilford,No,22133,16859,76.17,16049,72.51,08/12/2021
Haddam,No,8193,6082,74.23,5721,69.83,08/12/2021
Hamden,No,60556,38462,63.51,35936,59.34,08/12/2021
Hampton,No,1842,1074,58.31,1008,54.72,08/12/2021
Hartford,Yes,122105,59299,48.56,51155,41.89,08/12/2021
Hartland,No,2120,1197,56.46,1118,52.74,08/12/2021
Harwinton,No,5420,3511,64.78,3315,61.16,08/12/2021
Hebron,No,9504,6460,67.97,6144,64.65,08/12/2021
Kent,No,2777,2288,82.39,2115,76.16,08/12/2021
Killingly,Yes,17336,8978,51.79,8357,48.21,08/12/2021
Killingworth,No,6364,4476,70.33,4274,67.16,08/12/2021
Lebanon,No,7144,4479,62.7,4253,59.53,08/12/2021
Ledyard,No,14621,9065,62,8589,58.74,08/12/2021
Lisbon,No,4220,2495,59.12,2361,55.95,08/12/2021
Litchfield,No,8094,5645,69.74,5241,64.75,08/12/2021
Lyme,No,2316,1926,83.16,1848,79.79,08/12/2021
Madison,No,18030,13947,77.35,13265,73.57,08/12/2021
Manchester,Yes,57584,36563,63.5,33757,58.62,08/12/2021
Mansfield,No,25487,9182,36.03,8652,33.95,08/12/2021
Marlborough,No,6335,4340,68.51,4127,65.15,08/12/2021
Meriden,Yes,59395,36620,61.66,33466,56.34,08/12/2021
Middlebury,No,7798,5497,70.49,5206,66.76,08/12/2021
Middlefield,No,4374,2974,67.99,2814,64.33,08/12/2021
Middletown,Yes,46258,32457,70.17,30101,65.07,08/12/2021
