Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Date Updated
Address pending validation,,,3945,,2418,,04/21/2021
Andover,No,3236,1661,51.33,1102,34.05,04/21/2021
Ansonia,Yes,18654,7033,37.7,4161,22.31,04/21/2021
Ashford,No,4255,2019,47.45,1375,32.31,04/21/2021
Avon,No,18276,11659,63.79,8003,43.79,04/21/2021
Barkhamsted,No,3606,1889,52.38,1373,38.08,04/21/2021
Beacon Falls,No,6222,3049,49,2030,32.63,04/21/2021
Berlin,No,20436,11345,55.51,8204,40.14,04/21/2021
Bethany,No,5548,3148,56.74,2150,38.75,04/21/2021
Bethel,No,19800,9138,46.15,5416,27.35,04/21/2021
Bethlehem,No,3402,1657,48.71,1130,33.22,04/21/2021
Bloomfield,No,21211,11439,53.93,8438,39.78,04/21/2021
Bolton,No,4884,2641,54.07,1788,36.61,04/21/2021
Bozrah,No,2726,1238,45.41,951,34.89,04/21/2021
Branford,No,27900,16703,59.87,11963,42.88,04/21/2021
Bridgeport,Yes,144399,44457,30.79,26982,18.69,04/21/2021
Bridgewater,No,1635,1032,63.12,718,43.91,04/21/2021
Bristol,Yes,59947,27141,45.27,18151,30.28,04/21/2021
Brookfield,No,16973,9063,53.4,5846,34.44,04/21/2021
Brooklyn,No,8272,3414,41.27,2519,30.45,04/21/2021
Burlington,No,9704,5365,55.29,3631,37.42,04/21/2021
Canaan,No,1053,764,72.55,468,44.44,04/21/2021
Canterbury,No,5079,2158,42.49,1564,30.79,04/21/2021
Canton,No,10254,5760,56.17,4029,39.29,04/21/2021
Chaplin,No,2239,954,42.61,651,29.08,04/21/2021
Cheshire,No,28937,17276,59.7,12349,42.68,04/21/2021
Chester,No,4213,2410,57.2,1740,41.3,04/21/2021
Clinton,No,12925,7472,57.81,5041,39,04/21/2021
Colchester,No,15809,8083,51.13,5591,35.37,04/21/2021
Colebrook,No,1400,710,50.71,493,35.21,04/21/2021
Columbia,No,5379,2891,53.75,2074,38.56,04/21/2021
Cornwall,No,1362,871,63.95,562,41.26,04/21/2021
Coventry,No,12407,6256,50.42,4164,33.56,04/21/2021
Cromwell,No,13839,8259,59.68,5622,40.62,04/21/2021
Danbury,Yes,84694,32822,38.75,18820,22.22,04/21/2021
Darien,No,21728,12118,55.77,6374,29.34,04/21/2021
Deep River,No,4443,2604,58.61,1765,39.73,04/21/2021
Derby,Yes,12339,5193,42.09,3201,25.94,04/21/2021
Durham,No,7165,4061,56.68,2892,40.36,04/21/2021
East Granby,No,5140,2770,53.89,1819,35.39,04/21/2021
East Haddam,No,8997,4331,48.14,2768,30.77,04/21/2021
East Hampton,No,12800,6492,50.72,4470,34.92,04/21/2021
East Hartford,Yes,49872,19305,38.71,12111,24.28,04/21/2021
East Haven,Yes,28569,12381,43.34,8464,29.63,04/21/2021
East Lyme,No,18462,11108,60.17,8282,44.86,04/21/2021
East Windsor,No,11668,5078,43.52,3297,28.26,04/21/2021
Eastford,No,1790,785,43.85,572,31.96,04/21/2021
Easton,No,7521,4159,55.3,2706,35.98,04/21/2021
Ellington,No,16467,8434,51.22,5332,32.38,04/21/2021
Enfield,Yes,43659,18077,41.4,11779,26.98,04/21/2021
Essex,No,6668,4456,66.83,3331,49.96,04/21/2021
Fairfield,No,62045,33909,54.65,20143,32.47,04/21/2021
Farmington,No,25497,16052,62.96,11146,43.71,04/21/2021
Franklin,No,1920,953,49.64,693,36.09,04/21/2021
Glastonbury,No,34482,21360,61.95,14037,40.71,04/21/2021
Goshen,No,2863,1578,55.12,1132,39.54,04/21/2021
Granby,No,11507,6228,54.12,4248,36.92,04/21/2021
Greenwich,No,62840,32510,51.73,18568,29.55,04/21/2021
Griswold,Yes,11534,4400,38.15,3156,27.36,04/21/2021
Groton,Yes,38436,15938,41.47,10861,28.26,04/21/2021
Guilford,No,22133,14084,63.63,9964,45.02,04/21/2021
Haddam,No,8193,4769,58.21,3485,42.54,04/21/2021
Hamden,No,60556,29154,48.14,19613,32.39,04/21/2021
Hampton,No,1842,892,48.43,647,35.12,04/21/2021
Hartford,Yes,122105,34792,28.49,21550,17.65,04/21/2021
Hartland,No,2120,942,44.43,681,32.12,04/21/2021
Harwinton,No,5420,2821,52.05,2020,37.27,04/21/2021
Hebron,No,9504,5257,55.31,3614,38.03,04/21/2021
Kent,No,2777,1894,68.2,1362,49.05,04/21/2021
Killingly,Yes,17336,6470,37.32,4755,27.43,04/21/2021
Killingworth,No,6364,3686,57.92,2655,41.72,04/21/2021
Lebanon,No,7144,3589,50.24,2550,35.69,04/21/2021
Ledyard,No,14621,6964,47.63,4835,33.07,04/21/2021
Lisbon,No,4220,1877,44.48,1390,32.94,04/21/2021
Litchfield,No,8094,4336,53.57,2992,36.97,04/21/2021
Lyme,No,2316,1647,71.11,1214,52.42,04/21/2021
Madison,No,18030,11631,64.51,8073,44.78,04/21/2021
Manchester,Yes,57584,25540,44.35,15672,27.22,04/21/2021
Mansfield,No,25487,7161,28.1,4438,17.41,04/21/2021
Marlborough,No,6335,3450,54.46,2375,37.49,04/21/2021
Meriden,Yes,59395,23010,38.74,15033,25.31,04/21/2021
Middlebury,No,7798,4445,57,3121,40.02,04/21/2021
Middlefield,No,4374,2355,53.84,1654,37.81,04/21/2021
Middletown,Yes,46258,23430,50.65,15180,32.82,04/21/2021
Milford,Yes,54747,29539,53.96,19485,35.59,04/21/2021
Monroe,No,19434,10282,52.91,6385,32.85,04/21/2021
Montville,Yes,18508,7936,42.88,5690,30.74,04/21/2021
Morris,No,2254,1044,46.32,702,31.14,04/21/2021
Naugatuck,No,31108,12743,40.96,7934,25.5,04/21/2021
New Britain,Yes,72495,22898,31.59,14825,20.45,04/21/2021
New Canaan,No,20233,11905,58.84,6763,33.43,04/21/2021
New Fairfield,No,13878,6688,48.19,4277,30.82,04/21/2021
New Hartford,No,6656,3486,52.37,2514,37.77,04/21/2021
New Haven,Yes,130250,48472,37.21,28185,21.64,04/21/2021
New London,Yes,26858,9531,35.49,5968,22.22,04/21/2021
New Milford,No,26805,14018,52.3,8990,33.54,04/21/2021
Newington,No,30014,16945,56.46,11671,38.89,04/21/2021
Newtown,No,27891,15442,55.37,9844,35.29,04/21/2021
Norfolk,No,1630,811,49.75,562,34.48,04/21/2021
North Branford,No,14146,8036,56.81,5907,41.76,04/21/2021
North Canaan,No,3251,1060,32.61,634,19.5,04/21/2021
North Haven,No,23683,14590,61.61,10337,43.65,04/21/2021
North Stonington,No,5196,2341,45.05,1648,31.72,04/21/2021
Norwalk,Yes,88816,41776,47.04,23587,26.56,04/21/2021
Norwich,Yes,38768,14669,37.84,9825,25.34,04/21/2021
Old Lyme,No,7306,4609,63.09,3349,45.84,04/21/2021
Old Saybrook,No,10061,7021,69.78,5003,49.73,04/21/2021
Orange,Yes,13926,8236,59.14,5784,41.53,04/21/2021
Oxford,No,13255,6830,51.53,4721,35.62,04/21/2021
Plainfield,Yes,15125,5560,36.76,3940,26.05,04/21/2021
Plainville,No,17534,8351,47.63,5619,32.05,04/21/2021
Plymouth,No,11598,4697,40.5,2932,25.28,04/21/2021
Pomfret,No,4203,2151,51.18,1480,35.21,04/21/2021
Portland,No,9267,5057,54.57,3570,38.52,04/21/2021
Preston,No,4625,2256,48.78,1648,35.63,04/21/2021
Prospect,No,9702,5006,51.6,3587,36.97,04/21/2021
Putnam,No,9389,3555,37.86,2501,26.64,04/21/2021
Redding,No,9116,4850,53.2,2907,31.89,04/21/2021
Resident out of state,,,46192,,27676,,04/21/2021
Ridgefield,No,24959,14372,57.58,8668,34.73,04/21/2021
Rocky Hill,No,20115,11414,56.74,7529,37.43,04/21/2021
Roxbury,No,2152,1381,64.17,912,42.38,04/21/2021
Salem,No,4083,2010,49.23,1418,34.73,04/21/2021
Salisbury,No,3600,2373,65.92,1656,46,04/21/2021
Scotland,No,1672,710,42.46,518,30.98,04/21/2021
Seymour,No,16437,7568,46.04,4836,29.42,04/21/2021
Sharon,No,2689,1510,56.15,947,35.22,04/21/2021
Shelton,No,41129,21374,51.97,14068,34.2,04/21/2021
Sherman,No,3630,1809,49.83,1193,32.87,04/21/2021
Simsbury,No,25395,15078,59.37,10273,40.45,04/21/2021
Somers,No,10784,5020,46.55,3625,33.61,04/21/2021
South Windsor,No,26162,15161,57.95,9682,37.01,04/21/2021
Southbury,No,19571,11742,60,8445,43.15,04/21/2021
Southington,No,43834,23816,54.33,16799,38.32,04/21/2021
Sprague,No,2859,1035,36.2,753,26.34,04/21/2021
Stafford,No,11893,4824,40.56,3148,26.47,04/21/2021
Stamford,Yes,129638,61049,47.09,32729,25.25,04/21/2021
Sterling,No,3782,1133,29.96,792,20.94,04/21/2021
Stonington,No,18559,10638,57.32,7751,41.76,04/21/2021
Stratford,No,51849,22768,43.91,14536,28.04,04/21/2021
Suffield,No,15814,8126,51.38,5560,35.16,04/21/2021
Thomaston,No,7535,3475,46.12,2152,28.56,04/21/2021
Thompson,No,9379,3123,33.3,2264,24.14,04/21/2021
Tolland,No,14618,8077,55.25,5251,35.92,04/21/2021
Torrington,Yes,34044,14859,43.65,10163,29.85,04/21/2021
Trumbull,No,35673,20430,57.27,12920,36.22,04/21/2021
Union,No,839,431,51.37,318,37.9,04/21/2021
Vernon,Yes,29359,14829,50.51,9324,31.76,04/21/2021
Voluntown,No,2510,1076,42.87,776,30.92,04/21/2021
Wallingford,No,44326,24388,55.02,16943,38.22,04/21/2021
Warren,No,1395,777,55.7,562,40.29,04/21/2021
Washington,No,3428,2141,62.46,1495,43.61,04/21/2021
Waterbury,Yes,107568,32931,30.61,21367,19.86,04/21/2021
Waterford,Yes,18746,10962,58.48,8004,42.7,04/21/2021
Watertown,No,21578,10866,50.36,7278,33.73,04/21/2021
West Hartford,Yes,62965,38446,61.06,25543,40.57,04/21/2021
West Haven,Yes,54620,22371,40.96,14155,25.92,04/21/2021
Westbrook,No,6869,3910,56.92,2738,39.86,04/21/2021
Weston,No,10252,6042,58.93,3488,34.02,04/21/2021
Westport,No,28491,16615,58.32,9759,34.25,04/21/2021
Wethersfield,No,26008,15230,58.56,10631,40.88,04/21/2021
Willington,No,5864,2622,44.71,1686,28.75,04/21/2021
Wilton,No,18343,11211,61.12,6348,34.61,04/21/2021
Winchester,Yes,10604,4500,42.44,3139,29.6,04/21/2021
Windham,Yes,24561,8452,34.41,5329,21.7,04/21/2021
Windsor,No,28733,14845,51.67,10249,35.67,04/21/2021
Windsor Locks,Yes,12854,5971,46.45,4079,31.73,04/21/2021
Wolcott,No,16587,8140,49.07,5687,34.29,04/21/2021
Woodbridge,No,8750,5547,63.39,3914,44.73,04/21/2021
Woodbury,No,9502,5246,55.21,3624,38.14,04/21/2021
Woodstock,No,7858,3724,47.39,2706,34.44,04/21/2021
Address pending validation,,,4113,,2541,,04/28/2021
Andover,No,3236,1700,52.53,1238,38.26,04/28/2021
Ansonia,Yes,18654,7412,39.73,4950,26.54,04/28/2021
Ashford,No,4255,2074,48.74,1533,36.03,04/28/2021
Avon,No,18276,11959,65.44,8982,49.15,04/28/2021
Barkhamsted,No,3606,1940,53.8,1491,41.35,04/28/2021
Beacon Falls,No,6222,3127,50.26,2334,37.51,04/28/2021
Berlin,No,20436,11592,56.72,8997,44.03,04/28/2021
Bethany,No,5548,3168,57.1,2414,43.51,04/28/2021
Bethel,No,19800,9491,47.93,6219,31.41,04/28/2021
Bethlehem,No,3402,1692,49.74,1265,37.18,04/28/2021
Bloomfield,No,21211,11819,55.72,9005,42.45,04/28/2021
Bolton,No,4884,2705,55.38,2017,41.3,04/28/2021
Bozrah,No,2726,1275,46.77,1027,37.67,04/28/2021
Branford,No,27900,17068,61.18,12982,46.53,04/28/2021
Bridgeport,Yes,144399,47787,33.09,30571,21.17,04/28/2021
Bridgewater,No,1635,1041,63.67,792,48.44,04/28/2021
Bristol,Yes,59947,28596,47.7,20377,33.99,04/28/2021
Brookfield,No,16973,9374,55.23,6654,39.2,04/28/2021
Brooklyn,No,8272,3482,42.09,2736,33.08,04/28/2021
Burlington,No,9704,5430,55.96,4080,42.04,04/28/2021
Canaan,No,1053,803,76.26,511,48.53,04/28/2021
Canterbury,No,5079,2208,43.47,1679,33.06,04/28/2021
Canton,No,10254,5885,57.39,4453,43.43,04/28/2021
Chaplin,No,2239,977,43.64,731,32.65,04/28/2021
Cheshire,No,28937,17614,60.87,13760,47.55,04/28/2021
Chester,No,4213,2468,58.58,1906,45.24,04/28/2021
Clinton,No,12925,7760,60.04,5632,43.57,04/28/2021
Colchester,No,15809,8292,52.45,6225,39.38,04/28/2021
Colebrook,No,1400,720,51.43,542,38.71,04/28/2021
Columbia,No,5379,2936,54.58,2264,42.09,04/28/2021
Cornwall,No,1362,908,66.67,624,45.81,04/28/2021
Coventry,No,12407,6425,51.79,4685,37.76,04/28/2021
Cromwell,No,13839,8524,61.59,6341,45.82,04/28/2021
Danbury,Yes,84694,36755,43.4,21785,25.72,04/28/2021
Darien,No,21728,12573,57.87,8167,37.59,04/28/2021
Deep River,No,4443,2678,60.27,1963,44.18,04/28/2021
Derby,Yes,12339,5626,45.6,3733,30.25,04/28/2021
Durham,No,7165,4196,58.56,3174,44.3,04/28/2021
East Granby,No,5140,2837,55.19,2035,39.59,04/28/2021
East Haddam,No,8997,4425,49.18,3023,33.6,04/28/2021
East Hampton,No,12800,6681,52.2,4953,38.7,04/28/2021
East Hartford,Yes,49872,21077,42.26,13578,27.23,04/28/2021
East Haven,Yes,28569,12951,45.33,9350,32.73,04/28/2021
East Lyme,No,18462,11299,61.2,9002,48.76,04/28/2021
East Windsor,No,11668,5304,45.46,3685,31.58,04/28/2021
Eastford,No,1790,799,44.64,614,34.3,04/28/2021
Easton,No,7521,4266,56.72,3142,41.78,04/28/2021
Ellington,No,16467,8637,52.45,6114,37.13,04/28/2021
Enfield,Yes,43659,18986,43.49,13147,30.11,04/28/2021
Essex,No,6668,4545,68.16,3616,54.23,04/28/2021
Fairfield,No,62045,34362,55.38,23617,38.06,04/28/2021
Farmington,No,25497,16582,65.04,12340,48.4,04/28/2021
Franklin,No,1920,990,51.56,767,39.95,04/28/2021
Glastonbury,No,34482,21783,63.17,15978,46.34,04/28/2021
Goshen,No,2863,1607,56.13,1243,43.42,04/28/2021
Granby,No,11507,6390,55.53,4758,41.35,04/28/2021
Greenwich,No,62840,34088,54.25,22643,36.03,04/28/2021
Griswold,Yes,11534,4627,40.12,3521,30.53,04/28/2021
Groton,Yes,38436,16429,42.74,11900,30.96,04/28/2021
Guilford,No,22133,14310,64.65,10949,49.47,04/28/2021
Haddam,No,8193,4969,60.65,3815,46.56,04/28/2021
Hamden,No,60556,30380,50.17,22016,36.36,04/28/2021
Hampton,No,1842,897,48.7,718,38.98,04/28/2021
Hartford,Yes,122105,37886,31.03,24227,19.84,04/28/2021
Hartland,No,2120,951,44.86,749,35.33,04/28/2021
Harwinton,No,5420,2876,53.06,2219,40.94,04/28/2021
Hebron,No,9504,5316,55.93,3995,42.03,04/28/2021
Kent,No,2777,1947,70.11,1464,52.72,04/28/2021
Killingly,Yes,17336,6658,38.41,5133,29.61,04/28/2021
Killingworth,No,6364,3827,60.14,2919,45.87,04/28/2021
Lebanon,No,7144,3663,51.27,2792,39.08,04/28/2021
Ledyard,No,14621,7167,49.02,5298,36.24,04/28/2021
Lisbon,No,4220,1979,46.9,1561,36.99,04/28/2021
Litchfield,No,8094,4509,55.71,3265,40.34,04/28/2021
Lyme,No,2316,1669,72.06,1329,57.38,04/28/2021
Madison,No,18030,11769,65.27,9035,50.11,04/28/2021
Manchester,Yes,57584,27299,47.41,17712,30.76,04/28/2021
Mansfield,No,25487,7449,29.23,5022,19.7,04/28/2021
Marlborough,No,6335,3548,56.01,2639,41.66,04/28/2021
Meriden,Yes,59395,25363,42.7,17381,29.26,04/28/2021
Middlebury,No,7798,4571,58.62,3472,44.52,04/28/2021
Middlefield,No,4374,2420,55.33,1831,41.86,04/28/2021
Middletown,Yes,46258,25440,55,16833,36.39,04/28/2021
Milford,Yes,54747,30067,54.92,21691,39.62,04/28/2021
Monroe,No,19434,10427,53.65,7402,38.09,04/28/2021
Montville,Yes,18508,8251,44.58,6240,33.72,04/28/2021
Morris,No,2254,1081,47.96,791,35.09,04/28/2021
Naugatuck,No,31108,13463,43.28,9068,29.15,04/28/2021
New Britain,Yes,72495,24761,34.16,16963,23.4,04/28/2021
New Canaan,No,20233,12231,60.45,7697,38.04,04/28/2021
New Fairfield,No,13878,6989,50.36,4858,35.01,04/28/2021
New Hartford,No,6656,3575,53.71,2751,41.33,04/28/2021
New Haven,Yes,130250,52180,40.06,33240,25.52,04/28/2021
New London,Yes,26858,10243,38.14,6679,24.87,04/28/2021
New Milford,No,26805,14570,54.36,10043,37.47,04/28/2021
Newington,No,30014,17305,57.66,12857,42.84,04/28/2021
Newtown,No,27891,15760,56.51,11174,40.06,04/28/2021
Norfolk,No,1630,820,50.31,605,37.12,04/28/2021
North Branford,No,14146,8331,58.89,6402,45.26,04/28/2021
North Canaan,No,3251,1140,35.07,685,21.07,04/28/2021
North Haven,No,23683,14986,63.28,11382,48.06,04/28/2021
North Stonington,No,5196,2412,46.42,1828,35.18,04/28/2021
Norwalk,Yes,88816,44816,50.46,27878,31.39,04/28/2021
Norwich,Yes,38768,15689,40.47,11002,28.38,04/28/2021
Old Lyme,No,7306,4668,63.89,3670,50.23,04/28/2021
Old Saybrook,No,10061,7103,70.6,5487,54.54,04/28/2021
Orange,Yes,13926,8339,59.88,6312,45.33,04/28/2021
Oxford,No,13255,7073,53.36,5326,40.18,04/28/2021
Plainfield,Yes,15125,5717,37.8,4216,27.87,04/28/2021
Plainville,No,17534,8766,49.99,6318,36.03,04/28/2021
Plymouth,No,11598,4795,41.34,3328,28.69,04/28/2021
Pomfret,No,4203,2057,48.94,1598,38.02,04/28/2021
Portland,No,9267,5255,56.71,3890,41.98,04/28/2021
Preston,No,4625,2302,49.77,1842,39.83,04/28/2021
Prospect,No,9702,5136,52.94,4036,41.6,04/28/2021
Putnam,No,9389,3702,39.43,2705,28.81,04/28/2021
Redding,No,9116,4954,54.34,3323,36.45,04/28/2021
Resident out of state,,,50400,,31231,,04/28/2021
Ridgefield,No,24959,14737,59.04,10117,40.53,04/28/2021
Rocky Hill,No,20115,11909,59.2,8405,41.78,04/28/2021
Roxbury,No,2152,1398,64.96,1043,48.47,04/28/2021
Salem,No,4083,2056,50.36,1560,38.21,04/28/2021
Salisbury,No,3600,2565,71.25,1796,49.89,04/28/2021
Scotland,No,1672,729,43.6,563,33.67,04/28/2021
Seymour,No,16437,7909,48.12,5546,33.74,04/28/2021
Sharon,No,2689,1563,58.13,1071,39.83,04/28/2021
Shelton,No,41129,22004,53.5,15910,38.68,04/28/2021
Sherman,No,3630,1877,51.71,1367,37.66,04/28/2021
Simsbury,No,25395,15474,60.93,11429,45,04/28/2021
Somers,No,10784,5080,47.11,3983,36.93,04/28/2021
South Windsor,No,26162,15673,59.91,10993,42.02,04/28/2021
Southbury,No,19571,11974,61.18,9426,48.16,04/28/2021
Southington,No,43834,24501,55.89,18733,42.74,04/28/2021
Sprague,No,2859,1087,38.02,832,29.1,04/28/2021
Stafford,No,11893,4955,41.66,3573,30.04,04/28/2021
Stamford,Yes,129638,66228,51.09,39431,30.42,04/28/2021
Sterling,No,3782,1175,31.07,871,23.03,04/28/2021
Stonington,No,18559,10786,58.12,8558,46.11,04/28/2021
Stratford,No,51849,24086,46.45,16463,31.75,04/28/2021
Suffield,No,15814,8310,52.55,6125,38.73,04/28/2021
Thomaston,No,7535,3583,47.55,2424,32.17,04/28/2021
Thompson,No,9379,3227,34.41,2467,26.3,04/28/2021
Tolland,No,14618,8206,56.14,5991,40.98,04/28/2021
Torrington,Yes,34044,15800,46.41,11315,33.24,04/28/2021
Trumbull,No,35673,20963,58.76,14876,41.7,04/28/2021
Union,No,839,435,51.85,340,40.52,04/28/2021
Vernon,Yes,29359,15201,51.78,10665,36.33,04/28/2021
Voluntown,No,2510,1132,45.1,879,35.02,04/28/2021
Wallingford,No,44326,25331,57.15,18962,42.78,04/28/2021
Warren,No,1395,792,56.77,613,43.94,04/28/2021
Washington,No,3428,2172,63.36,1646,48.02,04/28/2021
Waterbury,Yes,107568,36103,33.56,24343,22.63,04/28/2021
Waterford,Yes,18746,11201,59.75,8686,46.34,04/28/2021
Watertown,No,21578,11270,52.23,8089,37.49,04/28/2021
West Hartford,Yes,62965,39905,63.38,28825,45.78,04/28/2021
West Haven,Yes,54620,23824,43.62,15812,28.95,04/28/2021
Westbrook,No,6869,4092,59.57,2999,43.66,04/28/2021
Weston,No,10252,6110,59.6,4263,41.58,04/28/2021
Westport,No,28491,16858,59.17,11872,41.67,04/28/2021
Wethersfield,No,26008,15676,60.27,11805,45.39,04/28/2021
Willington,No,5864,2736,46.66,1888,32.2,04/28/2021
Wilton,No,18343,11276,61.47,7676,41.85,04/28/2021
Winchester,Yes,10604,4723,44.54,3511,33.11,04/28/2021
Windham,Yes,24561,8928,36.35,6078,24.75,04/28/2021
Windsor,No,28733,15642,54.44,11294,39.31,04/28/2021
Windsor Locks,Yes,12854,6277,48.83,4490,34.93,04/28/2021
Wolcott,No,16587,8310,50.1,6277,37.84,04/28/2021
Woodbridge,No,8750,5650,64.57,4304,49.19,04/28/2021
Woodbury,No,9502,5371,56.52,4012,42.22,04/28/2021
Woodstock,No,7858,3800,48.36,2917,37.12,04/28/2021
Address pending validation,,,4151,,2757,,05/05/2021
Andover,No,3236,1767,54.6,1361,42.06,05/05/2021
Ansonia,Yes,18654,7867,42.17,5423,29.07,05/05/2021
Ashford,No,4255,2153,50.6,1661,39.04,05/05/2021
Avon,No,18276,12223,66.88,9747,53.33,05/05/2021
Barkhamsted,No,3606,1988,55.13,1579,43.79,05/05/2021
Beacon Falls,No,6222,3244,52.14,2517,40.45,05/05/2021
Berlin,No,20436,11972,58.58,9764,47.78,05/05/2021
Bethany,No,5548,3247,58.53,2616,47.15,05/05/2021
Bethel,No,19800,9860,49.8,7026,35.48,05/05/2021
Bethlehem,No,3402,1756,51.62,1376,40.45,05/05/2021
Bloomfield,No,21211,12169,57.37,9574,45.14,05/05/2021
Bolton,No,4884,2787,57.06,2231,45.68,05/05/2021
Bozrah,No,2726,1317,48.31,1087,39.88,05/05/2021
Branford,No,27900,17452,62.55,14021,50.25,05/05/2021
Bridgeport,Yes,144399,51014,35.33,34170,23.66,05/05/2021
Bridgewater,No,1635,1058,64.71,849,51.93,05/05/2021
Bristol,Yes,59947,29779,49.68,22308,37.21,05/05/2021
Brookfield,No,16973,9774,57.59,7334,43.21,05/05/2021
Brooklyn,No,8272,3615,43.7,2884,34.86,05/05/2021
Burlington,No,9704,5556,57.25,4384,45.18,05/05/2021
Canaan,No,1053,843,80.06,556,52.8,05/05/2021
Canterbury,No,5079,2294,45.17,1781,35.07,05/05/2021
Canton,No,10254,6045,58.95,4779,46.61,05/05/2021
Chaplin,No,2239,1028,45.91,788,35.19,05/05/2021
Cheshire,No,28937,18274,63.15,14900,51.49,05/05/2021
Chester,No,4213,2546,60.43,2097,49.77,05/05/2021
Clinton,No,12925,8043,62.23,6205,48.01,05/05/2021
Colchester,No,15809,8537,54,6787,42.93,05/05/2021
Colebrook,No,1400,743,53.07,573,40.93,05/05/2021
Columbia,No,5379,3033,56.39,2436,45.29,05/05/2021
Cornwall,No,1362,936,68.72,700,51.4,05/05/2021
Coventry,No,12407,6633,53.46,5156,41.56,05/05/2021
Cromwell,No,13839,8912,64.4,7042,50.89,05/05/2021
Danbury,Yes,84694,39295,46.4,25142,29.69,05/05/2021
Darien,No,21728,13109,60.33,9546,43.93,05/05/2021
Deep River,No,4443,2754,61.99,2171,48.86,05/05/2021
Derby,Yes,12339,6118,49.58,4098,33.21,05/05/2021
Durham,No,7165,4334,60.49,3463,48.33,05/05/2021
East Granby,No,5140,2924,56.89,2260,43.97,05/05/2021
East Haddam,No,8997,4606,51.19,3319,36.89,05/05/2021
East Hampton,No,12800,6937,54.2,5457,42.63,05/05/2021
East Hartford,Yes,49872,22618,45.35,15322,30.72,05/05/2021
East Haven,Yes,28569,13459,47.11,10242,35.85,05/05/2021
East Lyme,No,18462,11565,62.64,9652,52.28,05/05/2021
East Windsor,No,11668,5505,47.18,4137,35.46,05/05/2021
Eastford,No,1790,834,46.59,655,36.59,05/05/2021
Easton,No,7521,4386,58.32,3393,45.11,05/05/2021
Ellington,No,16467,8928,54.22,6697,40.67,05/05/2021
Enfield,Yes,43659,19782,45.31,14489,33.19,05/05/2021
Essex,No,6668,4640,69.59,3883,58.23,05/05/2021
Fairfield,No,62045,35423,57.09,26680,43,05/05/2021
Farmington,No,25497,16977,66.58,13327,52.27,05/05/2021
Franklin,No,1920,1021,53.18,828,43.12,05/05/2021
Glastonbury,No,34482,22322,64.74,17594,51.02,05/05/2021
Goshen,No,2863,1650,57.63,1353,47.26,05/05/2021
Granby,No,11507,6561,57.02,5136,44.63,05/05/2021
Greenwich,No,62840,35615,56.68,26410,42.03,05/05/2021
Griswold,Yes,11534,4803,41.64,3798,32.93,05/05/2021
Groton,Yes,38436,17146,44.61,13189,34.31,05/05/2021
Guilford,No,22133,14630,66.1,11910,53.81,05/05/2021
Haddam,No,8193,5165,63.04,4202,51.29,05/05/2021
Hamden,No,60556,31260,51.62,24332,40.18,05/05/2021
Hampton,No,1842,929,50.43,757,41.1,05/05/2021
Hartford,Yes,122105,40247,32.96,27332,22.38,05/05/2021
Hartland,No,2120,980,46.23,802,37.83,05/05/2021
Harwinton,No,5420,2946,54.35,2399,44.26,05/05/2021
Hebron,No,9504,5489,57.75,4377,46.05,05/05/2021
Kent,No,2777,2006,72.24,1552,55.89,05/05/2021
Killingly,Yes,17336,7006,40.41,5443,31.4,05/05/2021
Killingworth,No,6364,3910,61.44,3198,50.25,05/05/2021
Lebanon,No,7144,3785,52.98,3024,42.33,05/05/2021
Ledyard,No,14621,7433,50.84,5913,40.44,05/05/2021
Lisbon,No,4220,2049,48.55,1678,39.76,05/05/2021
Litchfield,No,8094,4643,57.36,3557,43.95,05/05/2021
Lyme,No,2316,1729,74.65,1419,61.27,05/05/2021
Madison,No,18030,12034,66.74,9899,54.9,05/05/2021
Manchester,Yes,57584,28719,49.87,20051,34.82,05/05/2021
Mansfield,No,25487,7707,30.24,5656,22.19,05/05/2021
Marlborough,No,6335,3672,57.96,2881,45.48,05/05/2021
Meriden,Yes,59395,27164,45.73,19295,32.49,05/05/2021
Middlebury,No,7798,4702,60.3,3724,47.76,05/05/2021
Middlefield,No,4374,2532,57.89,2015,46.07,05/05/2021
Middletown,Yes,46258,26784,57.9,18990,41.05,05/05/2021
Milford,Yes,54747,30976,56.58,23972,43.79,05/05/2021
Monroe,No,19434,10782,55.48,8244,42.42,05/05/2021
Montville,Yes,18508,8536,46.12,6846,36.99,05/05/2021
Morris,No,2254,1124,49.87,864,38.33,05/05/2021
Naugatuck,No,31108,14258,45.83,10115,32.52,05/05/2021
New Britain,Yes,72495,26464,36.5,19000,26.21,05/05/2021
New Canaan,No,20233,12680,62.67,8880,43.89,05/05/2021
New Fairfield,No,13878,7295,52.57,5412,39,05/05/2021
New Hartford,No,6656,3678,55.26,2961,44.49,05/05/2021
New Haven,Yes,130250,54233,41.64,39289,30.16,05/05/2021
New London,Yes,26858,10894,40.56,7753,28.87,05/05/2021
New Milford,No,26805,15041,56.11,11055,41.24,05/05/2021
Newington,No,30014,17931,59.74,13991,46.61,05/05/2021
Newtown,No,27891,16185,58.03,12295,44.08,05/05/2021
Norfolk,No,1630,845,51.84,661,40.55,05/05/2021
North Branford,No,14146,8591,60.73,6888,48.69,05/05/2021
North Canaan,No,3251,1193,36.7,735,22.61,05/05/2021
